Date,Open
2017-04-04,53.18
2017-04-03,53.62
2017-03-31,53.04
2017-03-30,52.39
2017-03-29,51.43
2017-03-28,50.77
2017-03-27,51.03
2017-03-24,50.64
2017-03-23,50.83
2017-03-22,50.86
2017-03-21,51.7
2017-03-20,51.8
2017-03-17,51.74
2017-03-16,52.08
2017-03-15,51.5
2017-03-14,51.34
2017-03-13,51.49
2017-03-10,52.33
2017-03-09,53.49
2017-03-08,55.63
2017-03-07,55.95
2017-03-06,55.8
2017-03-03,55.18
2017-03-02,56.31
2017-03-01,56.45
2017-02-28,56.52
2017-02-27,55.96
2017-02-24,56.4
2017-02-23,56.2
2017-02-22,56.74
2017-02-21,56.17
2017-02-20,55.9
2017-02-17,55.73
2017-02-16,55.74
2017-02-15,55.82
2017-02-14,55.75
2017-02-13,56.68
2017-02-10,55.66
2017-02-09,55.3
2017-02-08,54.5
2017-02-07,55.91
2017-02-06,56.85
2017-02-03,56.92
2017-02-02,56.53
2017-02-01,55.55
2017-01-31,55.34
2017-01-30,55.47
2017-01-27,56.09
2017-01-26,55.39
2017-01-25,55.24
2017-01-24,55.42
2017-01-23,55.7
2017-01-20,54.33
2017-01-19,54.29
2017-01-18,55.48
2017-01-17,55.74
2017-01-16,55.64
2017-01-13,56.0
2017-01-12,55.19
2017-01-11,53.8
2017-01-10,54.95
2017-01-09,56.81
2017-01-06,56.88
2017-01-05,56.35
2017-01-04,55.73
2017-01-03,57.05
2017-01-02,56.82
