Date,Value
2017-03-01,55.72
2017-02-28,53.36
2017-02-27,54.65
2017-02-24,54.69
2017-02-23,55.82
2017-02-22,54.9
2017-02-21,56.34
2017-02-20,55.25
2017-02-17,54.48
2017-02-16,54.16
2017-02-15,54.57
2017-02-14,54.96
2017-02-13,54.15
2017-02-10,55.2
2017-02-09,53.98
2017-02-08,54.42
2017-02-07,53.79
2017-02-06,55.02
2017-02-03,55.92
2017-02-02,55.94
2017-02-01,55.79
2017-01-31,55.25
2017-01-30,54.77
2017-01-27,54.8
2017-01-26,55.89
2017-01-25,54.34
2017-01-24,54.7
2017-01-23,54.8
2017-01-20,55.04
2017-01-19,53.18
2017-01-18,53.77
2017-01-17,54.68
2017-01-16,54.3
2017-01-13,54.37
2017-01-12,54.51
2017-01-11,53.61
2017-01-10,53.2
2017-01-09,54.39
2017-01-06,55.9
2017-01-05,54.99
2017-01-04,54.57
2017-01-03,55.05
