Date,Open
2017-03-01,43.41
2017-02-28,44.95
2017-02-27,45.44
2017-02-24,46.21
2017-02-23,46.37
2017-02-22,46.78
2017-02-21,48.5
2017-02-20,48.0
2017-02-17,49.5
2017-02-16,49.75
2017-02-15,48.5
2017-02-14,49.66
2017-02-13,51.25
2017-02-10,52.05
2017-02-09,53.48
2017-02-08,56.0
2017-02-07,58.0
2017-02-06,59.8
2017-02-03,58.9
2017-02-02,57.45
2017-02-01,56.05
2017-01-31,55.0
2017-01-30,51.99
2017-01-27,52.14
2017-01-26,52.02
2017-01-25,54.25
2017-01-24,56.0
2017-01-23,56.0
2017-01-20,53.7
2017-01-19,54.07
2017-01-18,53.61
2017-01-17,52.35
2017-01-16,53.38
2017-01-13,54.75
2017-01-12,56.4
2017-01-11,55.2
2017-01-10,53.49
2017-01-09,51.25
2017-01-06,51.0
2017-01-05,50.31
2017-01-04,49.66
2017-01-03,52.0
2017-01-02,53.63
