Date,USD (AM)
2017-03-01,1246.05
2017-02-28,1251.9
2017-02-27,1256.25
2017-02-24,1255.35
2017-02-23,1237.35
2017-02-22,1237.5
2017-02-21,1228.7
2017-02-20,1235.35
2017-02-17,1241.4
2017-02-16,1236.75
2017-02-15,1225.15
2017-02-14,1229.65
2017-02-13,1229.4
2017-02-10,1225.75
2017-02-09,1241.75
2017-02-08,1235.6
2017-02-07,1231.0
2017-02-06,1221.85
2017-02-03,1213.05
2017-02-02,1224.05
2017-02-01,1210.0
2017-01-31,1198.8
2017-01-30,1189.85
2017-01-27,1184.2
2017-01-26,1191.55
2017-01-25,1203.5
2017-01-24,1213.3
2017-01-23,1213.75
2017-01-20,1199.1
2017-01-19,1203.35
2017-01-18,1212.5
2017-01-17,1217.5
2017-01-16,1202.75
2017-01-13,1196.35
2017-01-12,1206.65
2017-01-11,1187.55
2017-01-10,1183.2
2017-01-09,1176.1
2017-01-06,1178.0
2017-01-05,1173.05
2017-01-04,1165.9
2017-01-03,1148.65
