Date,Value
2017-03-01,54.15
2017-02-28,53.4
2017-02-27,53.85
2017-02-24,53.61
2017-02-23,53.95
2017-02-22,53.48
2017-02-21,53.88
2017-02-20,53.49
2017-02-17,53.11
2017-02-16,53.14
2017-02-15,53.1
2017-02-14,53.31
2017-02-13,53.47
2017-02-10,53.23
2017-02-09,52.76
2017-02-08,52.13
2017-02-07,52.78
2017-02-06,53.77
2017-02-03,54.24
2017-02-02,53.93
2017-02-01,52.76
2017-01-31,52.19
2017-01-30,52.78
2017-01-27,52.88
2017-01-26,52.91
2017-01-25,52.14
2017-01-24,52.51
2017-01-23,52.1
2017-01-20,51.8
2017-01-19,51.45
2017-01-18,52.22
2017-01-17,52.6
2017-01-16,52.17
2017-01-13,52.64
2017-01-12,52.3
2017-01-11,50.98
2017-01-10,51.46
2017-01-09,52.85
2017-01-06,53.5
2017-01-05,53.02
2017-01-04,52.71
2017-01-03,53.13
