Date,Value
2017-03-01,53.82
2017-02-28,54.0
2017-02-27,54.04
2017-02-24,53.99
2017-02-23,54.48
2017-02-22,53.61
2017-02-21,54.02
2017-02-17,53.41
2017-02-16,53.41
2017-02-15,53.11
2017-02-14,53.21
2017-02-13,52.96
2017-02-10,53.84
2017-02-09,52.99
2017-02-08,52.37
2017-02-07,52.19
2017-02-06,53.01
2017-02-03,53.81
2017-02-02,53.55
2017-02-01,53.9
2017-01-31,52.75
2017-01-30,52.63
2017-01-27,53.18
2017-01-26,53.24
2017-01-25,52.14
2017-01-24,52.38
2017-01-23,52.77
2017-01-20,52.33
2017-01-19,51.39
2017-01-18,51.12
2017-01-17,52.45
2017-01-13,52.36
2017-01-12,53.01
2017-01-11,52.19
2017-01-10,50.82
2017-01-09,51.95
2017-01-06,53.98
2017-01-05,53.77
2017-01-04,53.26
2017-01-03,52.36
